X,Result
-10.000000,-0.839072
-9.999000,-0.839615
-9.998000,-0.840158
-9.997000,-0.840700
-9.996000,-0.841241
-9.995000,-0.841781
-9.994000,-0.842321
-9.993000,-0.842859
-9.992000,-0.843397
-9.991000,-0.843934
-9.990000,-0.844470
-9.989000,-0.845005
-9.988000,-0.845539
-9.987000,-0.846073
-9.986000,-0.846605
-9.985000,-0.847137
-9.984000,-0.847668
-9.983000,-0.848198
-9.982000,-0.848727
-9.981000,-0.849256
-9.980000,-0.849783
-9.979000,-0.850310
-9.978000,-0.850836
-9.977000,-0.851361
-9.976000,-0.851885
-9.975000,-0.852408
-9.974000,-0.852931
-9.973000,-0.853452
-9.972000,-0.853973
-9.971000,-0.854493
-9.970000,-0.855012
-9.969000,-0.855530
-9.968000,-0.856048
-9.967000,-0.856564
-9.966000,-0.857080
-9.965000,-0.857595
-9.964000,-0.858108
-9.963000,-0.858621
-9.962000,-0.859134
-9.961000,-0.859645
-9.960000,-0.860155
-9.959000,-0.860665
-9.958000,-0.861174
-9.957000,-0.861682
-9.956000,-0.862189
-9.955000,-0.862695
-9.954000,-0.863200
-9.953000,-0.863705
-9.952000,-0.864208
-9.951000,-0.864711
-9.950000,-0.865213
-9.949000,-0.865714
-9.948000,-0.866214
-9.947000,-0.866713
-9.946000,-0.867211
-9.945000,-0.867709
-9.944000,-0.868205
-9.943000,-0.868701
-9.942000,-0.869196
-9.941000,-0.869690
-9.940000,-0.870183
-9.939000,-0.870676
-9.938000,-0.871167
-9.937000,-0.871658
-9.936000,-0.872147
-9.935000,-0.872636
-9.934000,-0.873124
-9.933000,-0.873611
-9.932000,-0.874097
-9.931000,-0.874583
-9.930000,-0.875067
-9.929000,-0.875551
-9.928000,-0.876033
-9.927000,-0.876515
-9.926000,-0.876996
-9.925000,-0.877476
-9.924000,-0.877955
-9.923000,-0.878434
-9.922000,-0.878911
-9.921000,-0.879388
-9.920000,-0.879863
-9.919000,-0.880338
-9.918000,-0.880812
-9.917000,-0.881285
-9.916000,-0.881757
-9.915000,-0.882228
-9.914000,-0.882699
-9.913000,-0.883168
-9.912000,-0.883637
-9.911000,-0.884105
-9.910000,-0.884571
-9.909000,-0.885037
-9.908000,-0.885502
-9.907000,-0.885967
-9.906000,-0.886430
-9.905000,-0.886892
-9.904000,-0.887354
-9.903000,-0.887815
-9.902000,-0.888274
-9.901000,-0.888733
-9.900000,-0.889191
-9.899000,-0.889648
-9.898000,-0.890104
-9.897000,-0.890560
-9.896000,-0.891014
-9.895000,-0.891468
-9.894000,-0.891920
-9.893000,-0.892372
-9.892000,-0.892823
-9.891000,-0.893273
-9.890000,-0.893722
-9.889000,-0.894170
-9.888000,-0.894617
-9.887000,-0.895064
-9.886000,-0.895509
-9.885000,-0.895954
-9.884000,-0.896398
-9.883000,-0.896840
-9.882000,-0.897282
-9.881000,-0.897723
-9.880000,-0.898163
-9.879000,-0.898603
-9.878000,-0.899041
-9.877000,-0.899478
-9.876000,-0.899915
-9.875000,-0.900351
-9.874000,-0.900785
-9.873000,-0.901219
-9.872000,-0.901652
-9.871000,-0.902084
-9.870000,-0.902515
-9.869000,-0.902945
-9.868000,-0.903375
-9.867000,-0.903803
-9.866000,-0.904230
-9.865000,-0.904657
-9.864000,-0.905083
-9.863000,-0.905508
-9.862000,-0.905931
-9.861000,-0.906354
-9.860000,-0.906776
-9.859000,-0.907198
-9.858000,-0.907618
-9.857000,-0.908037
-9.856000,-0.908456
-9.855000,-0.908873
-9.854000,-0.909290
-9.853000,-0.909705
-9.852000,-0.910120
-9.851000,-0.910534
-9.850000,-0.910947
-9.849000,-0.911359
-9.848000,-0.911770
-9.847000,-0.912181
-9.846000,-0.912590
-9.845000,-0.912998
-9.844000,-0.913406
-9.843000,-0.913812
-9.842000,-0.914218
-9.841000,-0.914623
-9.840000,-0.915027
-9.839000,-0.915430
-9.838000,-0.915832
-9.837000,-0.916233
-9.836000,-0.916633
-9.835000,-0.917032
-9.834000,-0.917431
-9.833000,-0.917828
-9.832000,-0.918225
-9.831000,-0.918620
-9.830000,-0.919015
-9.829000,-0.919409
-9.828000,-0.919801
-9.827000,-0.920193
-9.826000,-0.920584
-9.825000,-0.920975
-9.824000,-0.921364
-9.823000,-0.921752
-9.822000,-0.922139
-9.821000,-0.922526
-9.820000,-0.922911
-9.819000,-0.923296
-9.818000,-0.923679
-9.817000,-0.924062
-9.816000,-0.924444
-9.815000,-0.924825
-9.814000,-0.925205
-9.813000,-0.925584
-9.812000,-0.925962
-9.811000,-0.926339
-9.810000,-0.926715
-9.809000,-0.927090
-9.808000,-0.927465
-9.807000,-0.927838
-9.806000,-0.928211
-9.805000,-0.928582
-9.804000,-0.928953
-9.803000,-0.929323
-9.802000,-0.929691
-9.801000,-0.930059
-9.800000,-0.930426
-9.799000,-0.930792
-9.798000,-0.931157
-9.797000,-0.931522
-9.796000,-0.931885
-9.795000,-0.932247
-9.794000,-0.932608
-9.793000,-0.932969
-9.792000,-0.933328
-9.791000,-0.933687
-9.790000,-0.934044
-9.789000,-0.934401
-9.788000,-0.934757
-9.787000,-0.935112
-9.786000,-0.935466
-9.785000,-0.935819
-9.784000,-0.936171
-9.783000,-0.936522
-9.782000,-0.936872
-9.781000,-0.937221
-9.780000,-0.937569
-9.779000,-0.937917
-9.778000,-0.938263
-9.777000,-0.938608
-9.776000,-0.938953
-9.775000,-0.939297
-9.774000,-0.939639
-9.773000,-0.939981
-9.772000,-0.940322
-9.771000,-0.940661
-9.770000,-0.941000
-9.769000,-0.941338
-9.768000,-0.941675
-9.767000,-0.942011
-9.766000,-0.942346
-9.765000,-0.942681
-9.764000,-0.943014
-9.763000,-0.943346
-9.762000,-0.943677
-9.761000,-0.944008
-9.760000,-0.944337
-9.759000,-0.944666
-9.758000,-0.944993
-9.757000,-0.945320
-9.756000,-0.945646
-9.755000,-0.945970
-9.754000,-0.946294
-9.753000,-0.946617
-9.752000,-0.946939
-9.751000,-0.947260
-9.750000,-0.947580
-9.749000,-0.947899
-9.748000,-0.948217
-9.747000,-0.948534
-9.746000,-0.948850
-9.745000,-0.949166
-9.744000,-0.949480
-9.743000,-0.949793
-9.742000,-0.950106
-9.741000,-0.950417
-9.740000,-0.950728
-9.739000,-0.951037
-9.738000,-0.951346
-9.737000,-0.951653
-9.736000,-0.951960
-9.735000,-0.952266
-9.734000,-0.952571
-9.733000,-0.952874
-9.732000,-0.953177
-9.731000,-0.953479
-9.730000,-0.953780
-9.729000,-0.954080
-9.728000,-0.954379
-9.727000,-0.954677
-9.726000,-0.954975
-9.725000,-0.955271
-9.724000,-0.955566
-9.723000,-0.955860
-9.722000,-0.956154
-9.721000,-0.956446
-9.720000,-0.956738
-9.719000,-0.957028
-9.718000,-0.957318
-9.717000,-0.957606
-9.716000,-0.957894
-9.715000,-0.958180
-9.714000,-0.958466
-9.713000,-0.958751
-9.712000,-0.959035
-9.711000,-0.959317
-9.710000,-0.959599
-9.709000,-0.959880
-9.708000,-0.960160
-9.707000,-0.960439
-9.706000,-0.960717
-9.705000,-0.960994
-9.704000,-0.961270
-9.703000,-0.961545
-9.702000,-0.961819
-9.701000,-0.962093
-9.700000,-0.962365
-9.699000,-0.962636
-9.698000,-0.962906
-9.697000,-0.963176
-9.696000,-0.963444
-9.695000,-0.963712
-9.694000,-0.963978
-9.693000,-0.964244
-9.692000,-0.964508
-9.691000,-0.964772
-9.690000,-0.965034
-9.689000,-0.965296
-9.688000,-0.965557
-9.687000,-0.965816
-9.686000,-0.966075
-9.685000,-0.966333
-9.684000,-0.966590
-9.683000,-0.966846
-9.682000,-0.967100
-9.681000,-0.967354
-9.680000,-0.967607
-9.679000,-0.967859
-9.678000,-0.968110
-9.677000,-0.968360
-9.676000,-0.968609
-9.675000,-0.968857
-9.674000,-0.969105
-9.673000,-0.969351
-9.672000,-0.969596
-9.671000,-0.969840
-9.670000,-0.970083
-9.669000,-0.970326
-9.668000,-0.970567
-9.667000,-0.970807
-9.666000,-0.971047
-9.665000,-0.971285
-9.664000,-0.971523
-9.663000,-0.971759
-9.662000,-0.971995
-9.661000,-0.972229
-9.660000,-0.972463
-9.659000,-0.972695
-9.658000,-0.972927
-9.657000,-0.973157
-9.656000,-0.973387
-9.655000,-0.973616
-9.654000,-0.973843
-9.653000,-0.974070
-9.652000,-0.974296
-9.651000,-0.974521
-9.650000,-0.974745
-9.649000,-0.974967
-9.648000,-0.975189
-9.647000,-0.975410
-9.646000,-0.975630
-9.645000,-0.975849
-9.644000,-0.976067
-9.643000,-0.976284
-9.642000,-0.976500
-9.641000,-0.976715
-9.640000,-0.976929
-9.639000,-0.977142
-9.638000,-0.977354
-9.637000,-0.977565
-9.636000,-0.977775
-9.635000,-0.977985
-9.634000,-0.978193
-9.633000,-0.978400
-9.632000,-0.978606
-9.631000,-0.978811
-9.630000,-0.979016
-9.629000,-0.979219
-9.628000,-0.979421
-9.627000,-0.979623
-9.626000,-0.979823
-9.625000,-0.980022
-9.624000,-0.980221
-9.623000,-0.980418
-9.622000,-0.980615
-9.621000,-0.980810
-9.620000,-0.981005
-9.619000,-0.981198
-9.618000,-0.981391
-9.617000,-0.981582
-9.616000,-0.981773
-9.615000,-0.981962
-9.614000,-0.982151
-9.613000,-0.982338
-9.612000,-0.982525
-9.611000,-0.982711
-9.610000,-0.982895
-9.609000,-0.983079
-9.608000,-0.983262
-9.607000,-0.983443
-9.606000,-0.983624
-9.605000,-0.983804
-9.604000,-0.983983
-9.603000,-0.984160
-9.602000,-0.984337
-9.601000,-0.984513
-9.600000,-0.984688
-9.599000,-0.984862
-9.598000,-0.985035
-9.597000,-0.985206
-9.596000,-0.985377
-9.595000,-0.985547
-9.594000,-0.985716
-9.593000,-0.985884
-9.592000,-0.986051
-9.591000,-0.986217
-9.590000,-0.986382
-9.589000,-0.986546
-9.588000,-0.986709
-9.587000,-0.986871
-9.586000,-0.987032
-9.585000,-0.987192
-9.584000,-0.987351
-9.583000,-0.987509
-9.582000,-0.987666
-9.581000,-0.987822
-9.580000,-0.987977
-9.579000,-0.988131
-9.578000,-0.988284
-9.577000,-0.988437
-9.576000,-0.988588
-9.575000,-0.988738
-9.574000,-0.988887
-9.573000,-0.989035
-9.572000,-0.989182
-9.571000,-0.989329
-9.570000,-0.989474
-9.569000,-0.989618
-9.568000,-0.989761
-9.567000,-0.989903
-9.566000,-0.990045
-9.565000,-0.990185
-9.564000,-0.990324
-9.563000,-0.990463
-9.562000,-0.990600
-9.561000,-0.990736
-9.560000,-0.990871
-9.559000,-0.991006
-9.558000,-0.991139
-9.557000,-0.991271
-9.556000,-0.991403
-9.555000,-0.991533
-9.554000,-0.991662
-9.553000,-0.991791
-9.552000,-0.991918
-9.551000,-0.992045
-9.550000,-0.992170
-9.549000,-0.992294
-9.548000,-0.992418
-9.547000,-0.992540
-9.546000,-0.992662
-9.545000,-0.992782
-9.544000,-0.992901
-9.543000,-0.993020
-9.542000,-0.993137
-9.541000,-0.993254
-9.540000,-0.993369
-9.539000,-0.993484
-9.538000,-0.993597
-9.537000,-0.993710
-9.536000,-0.993821
-9.535000,-0.993932
-9.534000,-0.994041
-9.533000,-0.994150
-9.532000,-0.994257
-9.531000,-0.994364
-9.530000,-0.994469
-9.529000,-0.994574
-9.528000,-0.994677
-9.527000,-0.994780
-9.526000,-0.994881
-9.525000,-0.994982
-9.524000,-0.995082
-9.523000,-0.995180
-9.522000,-0.995278
-9.521000,-0.995374
-9.520000,-0.995470
-9.519000,-0.995564
-9.518000,-0.995658
-9.517000,-0.995751
-9.516000,-0.995842
-9.515000,-0.995933
-9.514000,-0.996022
-9.513000,-0.996111
-9.512000,-0.996199
-9.511000,-0.996285
-9.510000,-0.996371
-9.509000,-0.996455
-9.508000,-0.996539
-9.507000,-0.996622
-9.506000,-0.996703
-9.505000,-0.996784
-9.504000,-0.996864
-9.503000,-0.996942
-9.502000,-0.997020
-9.501000,-0.997097
-9.500000,-0.997172
-9.499000,-0.997247
-9.498000,-0.997320
-9.497000,-0.997393
-9.496000,-0.997465
-9.495000,-0.997535
-9.494000,-0.997605
-9.493000,-0.997674
-9.492000,-0.997741
-9.491000,-0.997808
-9.490000,-0.997874
-9.489000,-0.997938
-9.488000,-0.998002
-9.487000,-0.998065
-9.486000,-0.998127
-9.485000,-0.998187
-9.484000,-0.998247
-9.483000,-0.998306
-9.482000,-0.998363
-9.481000,-0.998420
-9.480000,-0.998476
-9.479000,-0.998530
-9.478000,-0.998584
-9.477000,-0.998637
-9.476000,-0.998688
-9.475000,-0.998739
-9.474000,-0.998789
-9.473000,-0.998838
-9.472000,-0.998885
-9.471000,-0.998932
-9.470000,-0.998978
-9.469000,-0.999022
-9.468000,-0.999066
-9.467000,-0.999109
-9.466000,-0.999150
-9.465000,-0.999191
-9.464000,-0.999231
-9.463000,-0.999270
-9.462000,-0.999307
-9.461000,-0.999344
-9.460000,-0.999380
-9.459000,-0.999414
-9.458000,-0.999448
-9.457000,-0.999481
-9.456000,-0.999513
-9.455000,-0.999543
-9.454000,-0.999573
-9.453000,-0.999602
-9.452000,-0.999630
-9.451000,-0.999656
-9.450000,-0.999682
-9.449000,-0.999707
-9.448000,-0.999730
-9.447000,-0.999753
-9.446000,-0.999775
-9.445000,-0.999796
-9.444000,-0.999815
-9.443000,-0.999834
-9.442000,-0.999852
-9.441000,-0.999868
-9.440000,-0.999884
-9.439000,-0.999899
-9.438000,-0.999913
-9.437000,-0.999925
-9.436000,-0.999937
-9.435000,-0.999948
-9.434000,-0.999957
-9.433000,-0.999966
-9.432000,-0.999974
-9.431000,-0.999981
-9.430000,-0.999986
-9.429000,-0.999991
-9.428000,-0.999995
-9.427000,-0.999998
-9.426000,-0.999999
-9.425000,-1.000000
-9.424000,-1.000000
-9.423000,-0.999998
-9.422000,-0.999996
-9.421000,-0.999993
-9.420000,-0.999989
-9.419000,-0.999983
-9.418000,-0.999977
-9.417000,-0.999970
-9.416000,-0.999961
-9.415000,-0.999952
-9.414000,-0.999942
-9.413000,-0.999931
-9.412000,-0.999918
-9.411000,-0.999905
-9.410000,-0.999891
-9.409000,-0.999876
-9.408000,-0.999859
-9.407000,-0.999842
-9.406000,-0.999824
-9.405000,-0.999804
-9.404000,-0.999784
-9.403000,-0.999763
-9.402000,-0.999741
-9.401000,-0.999717
-9.400000,-0.999693
-9.399000,-0.999668
-9.398000,-0.999641
-9.397000,-0.999614
-9.396000,-0.999586
-9.395000,-0.999557
-9.394000,-0.999526
-9.393000,-0.999495
-9.392000,-0.999463
-9.391000,-0.999430
-9.390000,-0.999395
-9.389000,-0.999360
-9.388000,-0.999324
-9.387000,-0.999286
-9.386000,-0.999248
-9.385000,-0.999209
-9.384000,-0.999169
-9.383000,-0.999127
-9.382000,-0.999085
-9.381000,-0.999042
-9.380000,-0.998998
-9.379000,-0.998952
-9.378000,-0.998906
-9.377000,-0.998859
-9.376000,-0.998811
-9.375000,-0.998761
-9.374000,-0.998711
-9.373000,-0.998660
-9.372000,-0.998608
-9.371000,-0.998554
-9.370000,-0.998500
-9.369000,-0.998445
-9.368000,-0.998389
-9.367000,-0.998331
-9.366000,-0.998273
-9.365000,-0.998214
-9.364000,-0.998154
-9.363000,-0.998092
-9.362000,-0.998030
-9.361000,-0.997967
-9.360000,-0.997903
-9.359000,-0.997837
-9.358000,-0.997771
-9.357000,-0.997704
-9.356000,-0.997636
-9.355000,-0.997567
-9.354000,-0.997496
-9.353000,-0.997425
-9.352000,-0.997353
-9.351000,-0.997280
-9.350000,-0.997205
-9.349000,-0.997130
-9.348000,-0.997054
-9.347000,-0.996977
-9.346000,-0.996899
-9.345000,-0.996819
-9.344000,-0.996739
-9.343000,-0.996658
-9.342000,-0.996576
-9.341000,-0.996493
-9.340000,-0.996409
-9.339000,-0.996323
-9.338000,-0.996237
-9.337000,-0.996150
-9.336000,-0.996062
-9.335000,-0.995973
-9.334000,-0.995883
-9.333000,-0.995791
-9.332000,-0.995699
-9.331000,-0.995606
-9.330000,-0.995512
-9.329000,-0.995417
-9.328000,-0.995321
-9.327000,-0.995224
-9.326000,-0.995125
-9.325000,-0.995026
-9.324000,-0.994926
-9.323000,-0.994825
-9.322000,-0.994723
-9.321000,-0.994620
-9.320000,-0.994516
-9.319000,-0.994411
-9.318000,-0.994305
-9.317000,-0.994198
-9.316000,-0.994090
-9.315000,-0.993980
-9.314000,-0.993870
-9.313000,-0.993759
-9.312000,-0.993647
-9.311000,-0.993534
-9.310000,-0.993420
-9.309000,-0.993305
-9.308000,-0.993189
-9.307000,-0.993072
-9.306000,-0.992954
-9.305000,-0.992835
-9.304000,-0.992715
-9.303000,-0.992594
-9.302000,-0.992472
-9.301000,-0.992349
-9.300000,-0.992225
-9.299000,-0.992100
-9.298000,-0.991974
-9.297000,-0.991847
-9.296000,-0.991720
-9.295000,-0.991591
-9.294000,-0.991461
-9.293000,-0.991330
-9.292000,-0.991198
-9.291000,-0.991065
-9.290000,-0.990931
-9.289000,-0.990796
-9.288000,-0.990660
-9.287000,-0.990524
-9.286000,-0.990386
-9.285000,-0.990247
-9.284000,-0.990107
-9.283000,-0.989966
-9.282000,-0.989825
-9.281000,-0.989682
-9.280000,-0.989538
-9.279000,-0.989393
-9.278000,-0.989247
-9.277000,-0.989101
-9.276000,-0.988953
-9.275000,-0.988804
-9.274000,-0.988655
-9.273000,-0.988504
-9.272000,-0.988352
-9.271000,-0.988199
-9.270000,-0.988046
-9.269000,-0.987891
-9.268000,-0.987735
-9.267000,-0.987579
-9.266000,-0.987421
-9.265000,-0.987263
-9.264000,-0.987103
-9.263000,-0.986942
-9.262000,-0.986781
-9.261000,-0.986618
-9.260000,-0.986455
-9.259000,-0.986290
-9.258000,-0.986125
-9.257000,-0.985958
-9.256000,-0.985791
-9.255000,-0.985622
-9.254000,-0.985453
-9.253000,-0.985282
-9.252000,-0.985111
-9.251000,-0.984939
-9.250000,-0.984765
-9.249000,-0.984591
-9.248000,-0.984415
-9.247000,-0.984239
-9.246000,-0.984062
-9.245000,-0.983883
-9.244000,-0.983704
-9.243000,-0.983524
-9.242000,-0.983343
-9.241000,-0.983160
-9.240000,-0.982977
-9.239000,-0.982793
-9.238000,-0.982608
-9.237000,-0.982421
-9.236000,-0.982234
-9.235000,-0.982046
-9.234000,-0.981857
-9.233000,-0.981667
-9.232000,-0.981476
-9.231000,-0.981284
-9.230000,-0.981091
-9.229000,-0.980897
-9.228000,-0.980702
-9.227000,-0.980506
-9.226000,-0.980309
-9.225000,-0.980111
-9.224000,-0.979912
-9.223000,-0.979712
-9.222000,-0.979511
-9.221000,-0.979309
-9.220000,-0.979106
-9.219000,-0.978902
-9.218000,-0.978698
-9.217000,-0.978492
-9.216000,-0.978285
-9.215000,-0.978077
-9.214000,-0.977868
-9.213000,-0.977659
-9.212000,-0.977448
-9.211000,-0.977236
-9.210000,-0.977024
-9.209000,-0.976810
-9.208000,-0.976596
-9.207000,-0.976380
-9.206000,-0.976163
-9.205000,-0.975946
-9.204000,-0.975727
-9.203000,-0.975508
-9.202000,-0.975287
-9.201000,-0.975066
-9.200000,-0.974844
-9.199000,-0.974620
-9.198000,-0.974396
-9.197000,-0.974171
-9.196000,-0.973944
-9.195000,-0.973717
-9.194000,-0.973489
-9.193000,-0.973260
-9.192000,-0.973029
-9.191000,-0.972798
-9.190000,-0.972566
-9.189000,-0.972333
-9.188000,-0.972099
-9.187000,-0.971864
-9.186000,-0.971628
-9.185000,-0.971391
-9.184000,-0.971153
-9.183000,-0.970914
-9.182000,-0.970674
-9.181000,-0.970433
-9.180000,-0.970191
-9.179000,-0.969948
-9.178000,-0.969705
-9.177000,-0.969460
-9.176000,-0.969214
-9.175000,-0.968967
-9.174000,-0.968720
-9.173000,-0.968471
-9.172000,-0.968221
-9.171000,-0.967971
-9.170000,-0.967719
-9.169000,-0.967467
-9.168000,-0.967213
-9.167000,-0.966959
-9.166000,-0.966703
-9.165000,-0.966447
-9.164000,-0.966190
-9.163000,-0.965931
-9.162000,-0.965672
-9.161000,-0.965412
-9.160000,-0.965151
-9.159000,-0.964888
-9.158000,-0.964625
-9.157000,-0.964361
-9.156000,-0.964096
-9.155000,-0.963830
-9.154000,-0.963563
-9.153000,-0.963295
-9.152000,-0.963026
-9.151000,-0.962756
-9.150000,-0.962485
-9.149000,-0.962214
-9.148000,-0.961941
-9.147000,-0.961667
-9.146000,-0.961392
-9.145000,-0.961117
-9.144000,-0.960840
-9.143000,-0.960563
-9.142000,-0.960284
-9.141000,-0.960005
-9.140000,-0.959724
-9.139000,-0.959443
-9.138000,-0.959160
-9.137000,-0.958877
-9.136000,-0.958593
-9.135000,-0.958307
-9.134000,-0.958021
-9.133000,-0.957734
-9.132000,-0.957446
-9.131000,-0.957157
-9.130000,-0.956867
-9.129000,-0.956576
-9.128000,-0.956284
-9.127000,-0.955991
-9.126000,-0.955697
-9.125000,-0.955402
-9.124000,-0.955106
-9.123000,-0.954810
-9.122000,-0.954512
-9.121000,-0.954213
-9.120000,-0.953914
-9.119000,-0.953613
-9.118000,-0.953312
-9.117000,-0.953009
-9.116000,-0.952706
-9.115000,-0.952401
-9.114000,-0.952096
-9.113000,-0.951790
-9.112000,-0.951482
-9.111000,-0.951174
-9.110000,-0.950865
-9.109000,-0.950555
-9.108000,-0.950244
-9.107000,-0.949932
-9.106000,-0.949619
-9.105000,-0.949305
-9.104000,-0.948990
-9.103000,-0.948675
-9.102000,-0.948358
-9.101000,-0.948040
-9.100000,-0.947722
-9.099000,-0.947402
-9.098000,-0.947082
-9.097000,-0.946760
-9.096000,-0.946438
-9.095000,-0.946114
-9.094000,-0.945790
-9.093000,-0.945465
-9.092000,-0.945139
-9.091000,-0.944811
-9.090000,-0.944483
-9.089000,-0.944154
-9.088000,-0.943824
-9.087000,-0.943493
-9.086000,-0.943161
-9.085000,-0.942829
-9.084000,-0.942495
-9.083000,-0.942160
-9.082000,-0.941825
-9.081000,-0.941488
-9.080000,-0.941151
-9.079000,-0.940812
-9.078000,-0.940473
-9.077000,-0.940132
-9.076000,-0.939791
-9.075000,-0.939449
-9.074000,-0.939106
-9.073000,-0.938762
-9.072000,-0.938417
-9.071000,-0.938071
-9.070000,-0.937724
-9.069000,-0.937376
-9.068000,-0.937027
-9.067000,-0.936677
-9.066000,-0.936327
-9.065000,-0.935975
-9.064000,-0.935622
-9.063000,-0.935269
-9.062000,-0.934915
-9.061000,-0.934559
-9.060000,-0.934203
-9.059000,-0.933846
-9.058000,-0.933488
-9.057000,-0.933129
