X,Result
-10.000000,1.838164
-9.999000,1.841004
-9.998000,1.843855
-9.997000,1.846717
-9.996000,1.849590
-9.995000,1.852473
-9.994000,1.855367
-9.993000,1.858272
-9.992000,1.861188
-9.991000,1.864115
-9.990000,1.867053
-9.989000,1.870003
-9.988000,1.872963
-9.987000,1.875935
-9.986000,1.878918
-9.985000,1.881913
-9.984000,1.884919
-9.983000,1.887936
-9.982000,1.890965
-9.981000,1.894006
-9.980000,1.897058
-9.979000,1.900122
-9.978000,1.903198
-9.977000,1.906286
-9.976000,1.909386
-9.975000,1.912497
-9.974000,1.915621
-9.973000,1.918757
-9.972000,1.921906
-9.971000,1.925066
-9.970000,1.928239
-9.969000,1.931424
-9.968000,1.934622
-9.967000,1.937832
-9.966000,1.941055
-9.965000,1.944291
-9.964000,1.947539
-9.963000,1.950800
-9.962000,1.954074
-9.961000,1.957361
-9.960000,1.960661
-9.959000,1.963974
-9.958000,1.967301
-9.957000,1.970640
-9.956000,1.973993
-9.955000,1.977360
-9.954000,1.980739
-9.953000,1.984133
-9.952000,1.987540
-9.951000,1.990961
-9.950000,1.994395
-9.949000,1.997844
-9.948000,2.001306
-9.947000,2.004782
-9.946000,2.008273
-9.945000,2.011778
-9.944000,2.015297
-9.943000,2.018830
-9.942000,2.022378
-9.941000,2.025940
-9.940000,2.029517
-9.939000,2.033109
-9.938000,2.036715
-9.937000,2.040336
-9.936000,2.043972
-9.935000,2.047624
-9.934000,2.051290
-9.933000,2.054971
-9.932000,2.058668
-9.931000,2.062381
-9.930000,2.066108
-9.929000,2.069852
-9.928000,2.073610
-9.927000,2.077385
-9.926000,2.081176
-9.925000,2.084982
-9.924000,2.088805
-9.923000,2.092644
-9.922000,2.096498
-9.921000,2.100370
-9.920000,2.104257
-9.919000,2.108162
-9.918000,2.112083
-9.917000,2.116020
-9.916000,2.119975
-9.915000,2.123946
-9.914000,2.127934
-9.913000,2.131940
-9.912000,2.135963
-9.911000,2.140003
-9.910000,2.144060
-9.909000,2.148136
-9.908000,2.152228
-9.907000,2.156339
-9.906000,2.160468
-9.905000,2.164614
-9.904000,2.168779
-9.903000,2.172962
-9.902000,2.177163
-9.901000,2.181383
-9.900000,2.185621
-9.899000,2.189878
-9.898000,2.194154
-9.897000,2.198448
-9.896000,2.202762
-9.895000,2.207095
-9.894000,2.211447
-9.893000,2.215819
-9.892000,2.220210
-9.891000,2.224621
-9.890000,2.229052
-9.889000,2.233502
-9.888000,2.237973
-9.887000,2.242464
-9.886000,2.246975
-9.885000,2.251507
-9.884000,2.256059
-9.883000,2.260632
-9.882000,2.265225
-9.881000,2.269840
-9.880000,2.274476
-9.879000,2.279133
-9.878000,2.283811
-9.877000,2.288511
-9.876000,2.293233
-9.875000,2.297977
-9.874000,2.302742
-9.873000,2.307530
-9.872000,2.312339
-9.871000,2.317172
-9.870000,2.322027
-9.869000,2.326904
-9.868000,2.331805
-9.867000,2.336728
-9.866000,2.341675
-9.865000,2.346645
-9.864000,2.351638
-9.863000,2.356655
-9.862000,2.361696
-9.861000,2.366761
-9.860000,2.371850
-9.859000,2.376964
-9.858000,2.382102
-9.857000,2.387264
-9.856000,2.392452
-9.855000,2.397664
-9.854000,2.402902
-9.853000,2.408164
-9.852000,2.413453
-9.851000,2.418767
-9.850000,2.424107
-9.849000,2.429473
-9.848000,2.434865
-9.847000,2.440284
-9.846000,2.445729
-9.845000,2.451202
-9.844000,2.456701
-9.843000,2.462227
-9.842000,2.467781
-9.841000,2.473362
-9.840000,2.478971
-9.839000,2.484609
-9.838000,2.490274
-9.837000,2.495968
-9.836000,2.501690
-9.835000,2.507441
-9.834000,2.513221
-9.833000,2.519031
-9.832000,2.524870
-9.831000,2.530738
-9.830000,2.536636
-9.829000,2.542565
-9.828000,2.548524
-9.827000,2.554513
-9.826000,2.560533
-9.825000,2.566585
-9.824000,2.572667
-9.823000,2.578781
-9.822000,2.584927
-9.821000,2.591104
-9.820000,2.597314
-9.819000,2.603556
-9.818000,2.609831
-9.817000,2.616139
-9.816000,2.622480
-9.815000,2.628855
-9.814000,2.635263
-9.813000,2.641705
-9.812000,2.648182
-9.811000,2.654693
-9.810000,2.661238
-9.809000,2.667819
-9.808000,2.674435
-9.807000,2.681087
-9.806000,2.687774
-9.805000,2.694498
-9.804000,2.701258
-9.803000,2.708055
-9.802000,2.714889
-9.801000,2.721760
-9.800000,2.728668
-9.799000,2.735615
-9.798000,2.742600
-9.797000,2.749623
-9.796000,2.756685
-9.795000,2.763787
-9.794000,2.770927
-9.793000,2.778108
-9.792000,2.785329
-9.791000,2.792590
-9.790000,2.799891
-9.789000,2.807234
-9.788000,2.814619
-9.787000,2.822045
-9.786000,2.829513
-9.785000,2.837024
-9.784000,2.844578
-9.783000,2.852174
-9.782000,2.859815
-9.781000,2.867499
-9.780000,2.875228
-9.779000,2.883001
-9.778000,2.890819
-9.777000,2.898683
-9.776000,2.906592
-9.775000,2.914548
-9.774000,2.922550
-9.773000,2.930600
-9.772000,2.938696
-9.771000,2.946841
-9.770000,2.955034
-9.769000,2.963275
-9.768000,2.971566
-9.767000,2.979906
-9.766000,2.988296
-9.765000,2.996736
-9.764000,3.005227
-9.763000,3.013769
-9.762000,3.022364
-9.761000,3.031010
-9.760000,3.039709
-9.759000,3.048461
-9.758000,3.057267
-9.757000,3.066127
-9.756000,3.075041
-9.755000,3.084011
-9.754000,3.093036
-9.753000,3.102117
-9.752000,3.111255
-9.751000,3.120450
-9.750000,3.129702
-9.749000,3.139013
-9.748000,3.148383
-9.747000,3.157811
-9.746000,3.167300
-9.745000,3.176849
-9.744000,3.186459
-9.743000,3.196130
-9.742000,3.205864
-9.741000,3.215660
