X,Result
0.001000,-4.880918
0.002000,-4.805525
0.003000,-4.733011
0.004000,-4.663229
0.005000,-4.596041
0.006000,-4.531314
0.007000,-4.468927
0.008000,-4.408763
0.009000,-4.350713
0.010000,-4.294673
0.011000,-4.240545
0.012000,-4.188237
0.013000,-4.137663
0.014000,-4.088739
0.015000,-4.041388
0.016000,-3.995537
0.017000,-3.951117
0.018000,-3.908060
0.019000,-3.866307
0.020000,-3.825796
0.021000,-3.786474
0.022000,-3.748287
0.023000,-3.711185
0.024000,-3.675120
0.025000,-3.640049
0.026000,-3.605929
0.027000,-3.572719
0.028000,-3.540381
0.029000,-3.508878
0.030000,-3.478177
0.031000,-3.448244
0.032000,-3.419049
0.033000,-3.390562
0.034000,-3.362755
0.035000,-3.335601
0.036000,-3.309075
0.037000,-3.283152
0.038000,-3.257810
0.039000,-3.233027
0.040000,-3.208782
0.041000,-3.185056
0.042000,-3.161828
0.043000,-3.139081
0.044000,-3.116799
0.045000,-3.094964
0.046000,-3.073561
0.047000,-3.052575
0.048000,-3.031991
0.049000,-3.011796
0.050000,-2.991978
0.051000,-2.972522
0.052000,-2.953419
0.053000,-2.934655
0.054000,-2.916221
0.055000,-2.898105
0.056000,-2.880298
0.057000,-2.862791
0.058000,-2.845573
0.059000,-2.828636
0.060000,-2.811973
0.061000,-2.795573
0.062000,-2.779431
0.063000,-2.763537
0.064000,-2.747886
0.065000,-2.732471
0.066000,-2.717284
0.067000,-2.702319
0.068000,-2.687570
0.069000,-2.673032
0.070000,-2.658698
0.071000,-2.644563
0.072000,-2.630622
0.073000,-2.616870
0.074000,-2.603302
0.075000,-2.589913
0.076000,-2.576699
0.077000,-2.563656
0.078000,-2.550778
0.079000,-2.538063
0.080000,-2.525505
0.081000,-2.513103
0.082000,-2.500850
0.083000,-2.488745
0.084000,-2.476784
0.085000,-2.464963
0.086000,-2.453279
0.087000,-2.441729
0.088000,-2.430311
0.089000,-2.419021
0.090000,-2.407856
0.091000,-2.396814
0.092000,-2.385892
0.093000,-2.375088
0.094000,-2.364398
0.095000,-2.353821
0.096000,-2.343355
0.097000,-2.332997
0.098000,-2.322744
0.099000,-2.312596
0.100000,-2.302549
0.101000,-2.292602
0.102000,-2.282752
0.103000,-2.272999
0.104000,-2.263339
0.105000,-2.253772
0.106000,-2.244295
0.107000,-2.234907
0.108000,-2.225606
0.109000,-2.216391
0.110000,-2.207260
0.111000,-2.198212
0.112000,-2.189244
0.113000,-2.180356
0.114000,-2.171547
0.115000,-2.162814
0.116000,-2.154156
0.117000,-2.145573
0.118000,-2.137063
0.119000,-2.128625
0.120000,-2.120257
0.121000,-2.111959
0.122000,-2.103729
0.123000,-2.095566
0.124000,-2.087469
0.125000,-2.079438
0.126000,-2.071470
0.127000,-2.063565
0.128000,-2.055722
0.129000,-2.047940
0.130000,-2.040218
0.131000,-2.032556
0.132000,-2.024951
0.133000,-2.017404
0.134000,-2.009914
0.135000,-2.002479
0.136000,-1.995099
0.137000,-1.987773
0.138000,-1.980500
0.139000,-1.973280
0.140000,-1.966112
0.141000,-1.958994
0.142000,-1.951927
0.143000,-1.944910
0.144000,-1.937941
0.145000,-1.931021
0.146000,-1.924148
0.147000,-1.917322
0.148000,-1.910543
0.149000,-1.903809
0.150000,-1.897120
0.151000,-1.890475
0.152000,-1.883874
0.153000,-1.877317
0.154000,-1.870802
0.155000,-1.864330
0.156000,-1.857899
0.157000,-1.851509
0.158000,-1.845160
0.159000,-1.838851
0.160000,-1.832581
0.161000,-1.826351
0.162000,-1.820159
0.163000,-1.814005
0.164000,-1.807889
0.165000,-1.801810
0.166000,-1.795767
0.167000,-1.789761
0.168000,-1.783791
0.169000,-1.777856
0.170000,-1.771957
0.171000,-1.766092
0.172000,-1.760261
0.173000,-1.754464
0.174000,-1.748700
0.175000,-1.742969
0.176000,-1.737271
0.177000,-1.731606
0.178000,-1.725972
0.179000,-1.720369
0.180000,-1.714798
0.181000,-1.709258
0.182000,-1.703749
0.183000,-1.698269
0.184000,-1.692820
0.185000,-1.687399
0.186000,-1.682009
0.187000,-1.676647
0.188000,-1.671313
0.189000,-1.666008
0.190000,-1.660731
0.191000,-1.655482
0.192000,-1.650260
0.193000,-1.645065
0.194000,-1.639897
0.195000,-1.634756
0.196000,-1.629641
0.197000,-1.624552
0.198000,-1.619488
0.199000,-1.614450
0.200000,-1.609438
0.201000,-1.604450
0.202000,-1.599488
0.203000,-1.594549
0.204000,-1.589635
0.205000,-1.584745
0.206000,-1.579879
0.207000,-1.575036
0.208000,-1.570217
0.209000,-1.565421
0.210000,-1.560648
0.211000,-1.555897
0.212000,-1.551169
0.213000,-1.546463
0.214000,-1.541779
0.215000,-1.537117
0.216000,-1.532477
0.217000,-1.527858
0.218000,-1.523260
0.219000,-1.518684
0.220000,-1.514128
0.221000,-1.509593
0.222000,-1.505078
0.223000,-1.500584
0.224000,-1.496109
0.225000,-1.491655
0.226000,-1.487220
0.227000,-1.482805
0.228000,-1.478410
0.229000,-1.474033
0.230000,-1.469676
0.231000,-1.465338
0.232000,-1.461018
0.233000,-1.456717
0.234000,-1.452434
0.235000,-1.448170
0.236000,-1.443923
0.237000,-1.439695
0.238000,-1.435485
0.239000,-1.431292
0.240000,-1.427116
0.241000,-1.422958
0.242000,-1.418818
0.243000,-1.414694
0.244000,-1.410587
0.245000,-1.406497
0.246000,-1.402424
0.247000,-1.398367
0.248000,-1.394327
0.249000,-1.390302
0.250000,-1.386294
0.251000,-1.382302
0.252000,-1.378326
0.253000,-1.374366
0.254000,-1.370421
0.255000,-1.366492
0.256000,-1.362578
0.257000,-1.358679
0.258000,-1.354796
0.259000,-1.350927
0.260000,-1.347074
0.261000,-1.343235
0.262000,-1.339411
0.263000,-1.335601
0.264000,-1.331806
0.265000,-1.328025
0.266000,-1.324259
0.267000,-1.320507
0.268000,-1.316768
0.269000,-1.313044
0.270000,-1.309333
0.271000,-1.305636
0.272000,-1.301953
0.273000,-1.298283
0.274000,-1.294627
0.275000,-1.290984
0.276000,-1.287354
0.277000,-1.283738
0.278000,-1.280134
