X,Result
0.001000,-7.041677
0.002000,-6.932908
0.003000,-6.828292
0.004000,-6.727618
0.005000,-6.630685
0.006000,-6.537305
0.007000,-6.447299
0.008000,-6.360501
0.009000,-6.276752
0.010000,-6.195903
0.011000,-6.117813
0.012000,-6.042349
0.013000,-5.969385
0.014000,-5.898803
0.015000,-5.830491
0.016000,-5.764342
0.017000,-5.700256
0.018000,-5.638139
0.019000,-5.577901
0.020000,-5.519457
0.021000,-5.462727
0.022000,-5.407634
0.023000,-5.354108
0.024000,-5.302078
0.025000,-5.251481
0.026000,-5.202256
0.027000,-5.154344
0.028000,-5.107689
0.029000,-5.062241
0.030000,-5.017949
0.031000,-4.974765
0.032000,-4.932645
0.033000,-4.891547
0.034000,-4.851430
0.035000,-4.812255
0.036000,-4.773985
0.037000,-4.736587
0.038000,-4.700027
0.039000,-4.664272
0.040000,-4.629294
0.041000,-4.595064
0.042000,-4.561553
0.043000,-4.528737
0.044000,-4.496590
0.045000,-4.465089
0.046000,-4.434211
0.047000,-4.403934
0.048000,-4.374238
0.049000,-4.345104
0.050000,-4.316511
0.051000,-4.288443
0.052000,-4.260883
0.053000,-4.233813
0.054000,-4.207217
0.055000,-4.181082
0.056000,-4.155392
0.057000,-4.130134
0.058000,-4.105294
0.059000,-4.080860
0.060000,-4.056819
0.061000,-4.033160
0.062000,-4.009871
0.063000,-3.986942
0.064000,-3.964362
0.065000,-3.942122
0.066000,-3.920211
0.067000,-3.898622
0.068000,-3.877344
0.069000,-3.856369
0.070000,-3.835690
0.071000,-3.815298
0.072000,-3.795186
0.073000,-3.775346
0.074000,-3.755771
0.075000,-3.736455
0.076000,-3.717392
0.077000,-3.698573
0.078000,-3.679995
0.079000,-3.661651
0.080000,-3.643534
0.081000,-3.625641
0.082000,-3.607964
0.083000,-3.590500
0.084000,-3.573244
0.085000,-3.556190
0.086000,-3.539334
0.087000,-3.522671
0.088000,-3.506198
0.089000,-3.489909
0.090000,-3.473802
0.091000,-3.457872
0.092000,-3.442115
0.093000,-3.426527
0.094000,-3.411106
0.095000,-3.395847
0.096000,-3.380747
0.097000,-3.365803
0.098000,-3.351012
0.099000,-3.336370
0.100000,-3.321876
0.101000,-3.307525
0.102000,-3.293315
0.103000,-3.279244
0.104000,-3.265308
0.105000,-3.251505
0.106000,-3.237833
0.107000,-3.224289
0.108000,-3.210871
0.109000,-3.197577
0.110000,-3.184403
0.111000,-3.171349
0.112000,-3.158412
0.113000,-3.145589
0.114000,-3.132879
0.115000,-3.120281
0.116000,-3.107791
0.117000,-3.095408
0.118000,-3.083131
0.119000,-3.070957
0.120000,-3.058885
0.121000,-3.046913
0.122000,-3.035040
0.123000,-3.023263
0.124000,-3.011582
0.125000,-2.999994
0.126000,-2.988499
0.127000,-2.977095
0.128000,-2.965780
0.129000,-2.954553
0.130000,-2.943413
0.131000,-2.932358
0.132000,-2.921387
0.133000,-2.910499
0.134000,-2.899693
0.135000,-2.888966
0.136000,-2.878319
0.137000,-2.867750
0.138000,-2.857258
0.139000,-2.846842
0.140000,-2.836500
0.141000,-2.826232
0.142000,-2.816036
0.143000,-2.805912
0.144000,-2.795858
0.145000,-2.785874
0.146000,-2.775959
0.147000,-2.766111
0.148000,-2.756330
0.149000,-2.746615
0.150000,-2.736965
0.151000,-2.727379
0.152000,-2.717856
0.153000,-2.708396
0.154000,-2.698997
0.155000,-2.689659
0.156000,-2.680382
0.157000,-2.671163
0.158000,-2.662003
0.159000,-2.652901
0.160000,-2.643856
0.161000,-2.634867
0.162000,-2.625934
0.163000,-2.617056
0.164000,-2.608232
0.165000,-2.599462
0.166000,-2.590745
0.167000,-2.582080
0.168000,-2.573467
0.169000,-2.564905
0.170000,-2.556393
0.171000,-2.547932
0.172000,-2.539519
0.173000,-2.531156
0.174000,-2.522841
0.175000,-2.514573
0.176000,-2.506353
0.177000,-2.498179
0.178000,-2.490051
0.179000,-2.481968
0.180000,-2.473931
0.181000,-2.465938
0.182000,-2.457990
0.183000,-2.450084
0.184000,-2.442222
0.185000,-2.434403
0.186000,-2.426625
0.187000,-2.418890
0.188000,-2.411195
0.189000,-2.403542
0.190000,-2.395929
0.191000,-2.388355
0.192000,-2.380822
0.193000,-2.373327
