X,Result
-10.000000,-1.191794
-9.999000,-1.191022
-9.998000,-1.190252
-9.997000,-1.189485
-9.996000,-1.188720
-9.995000,-1.187957
-9.994000,-1.187197
-9.993000,-1.186438
-9.992000,-1.185682
-9.991000,-1.184927
-9.990000,-1.184175
-9.989000,-1.183425
-9.988000,-1.182677
-9.987000,-1.181932
-9.986000,-1.181188
-9.985000,-1.180446
-9.984000,-1.179707
-9.983000,-1.178970
-9.982000,-1.178235
-9.981000,-1.177501
-9.980000,-1.176770
-9.979000,-1.176042
-9.978000,-1.175315
-9.977000,-1.174590
-9.976000,-1.173867
-9.975000,-1.173147
-9.974000,-1.172428
-9.973000,-1.171711
-9.972000,-1.170997
-9.971000,-1.170284
-9.970000,-1.169574
-9.969000,-1.168866
-9.968000,-1.168159
-9.967000,-1.167455
-9.966000,-1.166753
-9.965000,-1.166052
-9.964000,-1.165354
-9.963000,-1.164658
-9.962000,-1.163963
-9.961000,-1.163271
-9.960000,-1.162581
-9.959000,-1.161892
-9.958000,-1.161206
-9.957000,-1.160521
-9.956000,-1.159839
-9.955000,-1.159158
-9.954000,-1.158480
-9.953000,-1.157803
-9.952000,-1.157129
-9.951000,-1.156456
-9.950000,-1.155785
-9.949000,-1.155116
-9.948000,-1.154450
-9.947000,-1.153785
-9.946000,-1.153121
-9.945000,-1.152460
-9.944000,-1.151801
-9.943000,-1.151144
-9.942000,-1.150488
-9.941000,-1.149835
-9.940000,-1.149183
-9.939000,-1.148533
-9.938000,-1.147885
-9.937000,-1.147239
-9.936000,-1.146595
-9.935000,-1.145953
-9.934000,-1.145313
-9.933000,-1.144674
-9.932000,-1.144037
-9.931000,-1.143403
-9.930000,-1.142770
-9.929000,-1.142138
-9.928000,-1.141509
-9.927000,-1.140882
-9.926000,-1.140256
-9.925000,-1.139632
-9.924000,-1.139010
-9.923000,-1.138390
-9.922000,-1.137772
-9.921000,-1.137155
-9.920000,-1.136540
-9.919000,-1.135927
-9.918000,-1.135316
-9.917000,-1.134707
-9.916000,-1.134099
-9.915000,-1.133493
-9.914000,-1.132889
-9.913000,-1.132287
-9.912000,-1.131687
-9.911000,-1.131088
-9.910000,-1.130491
-9.909000,-1.129896
-9.908000,-1.129302
-9.907000,-1.128711
-9.906000,-1.128121
-9.905000,-1.127533
-9.904000,-1.126946
-9.903000,-1.126361
-9.902000,-1.125778
-9.901000,-1.125197
-9.900000,-1.124618
-9.899000,-1.124040
-9.898000,-1.123464
-9.897000,-1.122889
-9.896000,-1.122317
-9.895000,-1.121746
-9.894000,-1.121176
-9.893000,-1.120609
-9.892000,-1.120043
-9.891000,-1.119479
-9.890000,-1.118916
-9.889000,-1.118355
-9.888000,-1.117796
-9.887000,-1.117239
-9.886000,-1.116683
-9.885000,-1.116129
-9.884000,-1.115576
-9.883000,-1.115026
-9.882000,-1.114476
-9.881000,-1.113929
-9.880000,-1.113383
-9.879000,-1.112839
-9.878000,-1.112296
-9.877000,-1.111755
-9.876000,-1.111216
-9.875000,-1.110679
-9.874000,-1.110143
-9.873000,-1.109608
-9.872000,-1.109075
-9.871000,-1.108544
-9.870000,-1.108015
-9.869000,-1.107487
-9.868000,-1.106961
-9.867000,-1.106436
-9.866000,-1.105913
-9.865000,-1.105391
-9.864000,-1.104871
-9.863000,-1.104353
-9.862000,-1.103836
-9.861000,-1.103321
-9.860000,-1.102808
-9.859000,-1.102296
-9.858000,-1.101785
-9.857000,-1.101276
-9.856000,-1.100769
-9.855000,-1.100264
-9.854000,-1.099759
-9.853000,-1.099257
-9.852000,-1.098756
-9.851000,-1.098256
-9.850000,-1.097759
-9.849000,-1.097262
-9.848000,-1.096767
-9.847000,-1.096274
-9.846000,-1.095782
-9.845000,-1.095292
-9.844000,-1.094804
-9.843000,-1.094316
-9.842000,-1.093831
-9.841000,-1.093347
-9.840000,-1.092864
-9.839000,-1.092383
-9.838000,-1.091904
-9.837000,-1.091426
-9.836000,-1.090949
-9.835000,-1.090474
-9.834000,-1.090001
-9.833000,-1.089529
-9.832000,-1.089058
-9.831000,-1.088589
-9.830000,-1.088122
-9.829000,-1.087656
-9.828000,-1.087191
-9.827000,-1.086728
-9.826000,-1.086266
-9.825000,-1.085806
-9.824000,-1.085348
-9.823000,-1.084891
-9.822000,-1.084435
-9.821000,-1.083981
-9.820000,-1.083528
-9.819000,-1.083077
-9.818000,-1.082627
-9.817000,-1.082178
-9.816000,-1.081732
-9.815000,-1.081286
-9.814000,-1.080842
-9.813000,-1.080399
-9.812000,-1.079958
-9.811000,-1.079519
-9.810000,-1.079080
-9.809000,-1.078644
-9.808000,-1.078208
-9.807000,-1.077774
-9.806000,-1.077342
-9.805000,-1.076911
-9.804000,-1.076481
-9.803000,-1.076053
-9.802000,-1.075626
-9.801000,-1.075200
-9.800000,-1.074776
-9.799000,-1.074354
-9.798000,-1.073932
-9.797000,-1.073513
-9.796000,-1.073094
-9.795000,-1.072677
-9.794000,-1.072261
-9.793000,-1.071847
-9.792000,-1.071434
-9.791000,-1.071023
-9.790000,-1.070613
-9.789000,-1.070204
-9.788000,-1.069797
-9.787000,-1.069391
-9.786000,-1.068986
-9.785000,-1.068583
-9.784000,-1.068181
-9.783000,-1.067781
-9.782000,-1.067382
-9.781000,-1.066984
-9.780000,-1.066588
-9.779000,-1.066193
-9.778000,-1.065799
-9.777000,-1.065407
-9.776000,-1.065016
-9.775000,-1.064626
-9.774000,-1.064238
-9.773000,-1.063851
-9.772000,-1.063466
-9.771000,-1.063082
-9.770000,-1.062699
-9.769000,-1.062317
-9.768000,-1.061937
-9.767000,-1.061558
-9.766000,-1.061181
-9.765000,-1.060805
-9.764000,-1.060430
-9.763000,-1.060056
-9.762000,-1.059684
-9.761000,-1.059313
-9.760000,-1.058944
-9.759000,-1.058575
-9.758000,-1.058208
-9.757000,-1.057843
-9.756000,-1.057479
-9.755000,-1.057116
-9.754000,-1.056754
-9.753000,-1.056393
-9.752000,-1.056034
-9.751000,-1.055677
-9.750000,-1.055320
-9.749000,-1.054965
-9.748000,-1.054611
-9.747000,-1.054258
-9.746000,-1.053907
-9.745000,-1.053557
-9.744000,-1.053208
-9.743000,-1.052861
-9.742000,-1.052515
-9.741000,-1.052170
-9.740000,-1.051826
-9.739000,-1.051484
-9.738000,-1.051143
-9.737000,-1.050803
-9.736000,-1.050464
-9.735000,-1.050127
-9.734000,-1.049791
-9.733000,-1.049456
-9.732000,-1.049123
-9.731000,-1.048790
-9.730000,-1.048460
-9.729000,-1.048130
-9.728000,-1.047801
-9.727000,-1.047474
-9.726000,-1.047148
-9.725000,-1.046824
-9.724000,-1.046500
-9.723000,-1.046178
-9.722000,-1.045857
-9.721000,-1.045537
-9.720000,-1.045219
-9.719000,-1.044901
-9.718000,-1.044585
-9.717000,-1.044271
-9.716000,-1.043957
-9.715000,-1.043645
-9.714000,-1.043334
-9.713000,-1.043024
-9.712000,-1.042715
