X,Result
-10.000000,-1.837816
-9.999000,-1.841536
-9.998000,-1.845270
-9.997000,-1.849017
-9.996000,-1.852778
-9.995000,-1.856553
-9.994000,-1.860342
-9.993000,-1.864144
-9.992000,-1.867961
-9.991000,-1.871792
-9.990000,-1.875637
-9.989000,-1.879496
-9.988000,-1.883369
-9.987000,-1.887257
-9.986000,-1.891159
-9.985000,-1.895075
-9.984000,-1.899006
-9.983000,-1.902952
-9.982000,-1.906912
-9.981000,-1.910887
-9.980000,-1.914877
-9.979000,-1.918881
-9.978000,-1.922900
-9.977000,-1.926934
-9.976000,-1.930984
-9.975000,-1.935048
-9.974000,-1.939127
-9.973000,-1.943222
-9.972000,-1.947332
-9.971000,-1.951457
-9.970000,-1.955598
-9.969000,-1.959754
-9.968000,-1.963926
-9.967000,-1.968113
-9.966000,-1.972316
-9.965000,-1.976535
-9.964000,-1.980769
-9.963000,-1.985020
-9.962000,-1.989286
-9.961000,-1.993569
-9.960000,-1.997867
-9.959000,-2.002182
-9.958000,-2.006513
-9.957000,-2.010860
-9.956000,-2.015224
-9.955000,-2.019604
-9.954000,-2.024001
-9.953000,-2.028415
-9.952000,-2.032845
-9.951000,-2.037292
-9.950000,-2.041756
-9.949000,-2.046237
-9.948000,-2.050735
-9.947000,-2.055250
-9.946000,-2.059782
-9.945000,-2.064331
-9.944000,-2.068898
-9.943000,-2.073483
-9.942000,-2.078084
-9.941000,-2.082704
-9.940000,-2.087341
-9.939000,-2.091996
-9.938000,-2.096669
-9.937000,-2.101360
-9.936000,-2.106068
-9.935000,-2.110795
-9.934000,-2.115540
-9.933000,-2.120304
-9.932000,-2.125086
-9.931000,-2.129886
-9.930000,-2.134705
-9.929000,-2.139543
-9.928000,-2.144399
-9.927000,-2.149274
-9.926000,-2.154169
-9.925000,-2.159082
-9.924000,-2.164014
-9.923000,-2.168966
-9.922000,-2.173937
-9.921000,-2.178928
-9.920000,-2.183938
-9.919000,-2.188967
-9.918000,-2.194017
-9.917000,-2.199086
-9.916000,-2.204175
-9.915000,-2.209284
-9.914000,-2.214414
-9.913000,-2.219563
-9.912000,-2.224733
-9.911000,-2.229924
-9.910000,-2.235135
-9.909000,-2.240367
-9.908000,-2.245619
-9.907000,-2.250892
-9.906000,-2.256187
-9.905000,-2.261502
-9.904000,-2.266839
-9.903000,-2.272197
-9.902000,-2.277577
-9.901000,-2.282978
-9.900000,-2.288401
-9.899000,-2.293846
-9.898000,-2.299312
-9.897000,-2.304801
-9.896000,-2.310312
-9.895000,-2.315845
-9.894000,-2.321401
-9.893000,-2.326979
-9.892000,-2.332580
-9.891000,-2.338203
-9.890000,-2.343850
-9.889000,-2.349519
-9.888000,-2.355212
-9.887000,-2.360928
-9.886000,-2.366667
-9.885000,-2.372430
-9.884000,-2.378217
-9.883000,-2.384028
-9.882000,-2.389862
-9.881000,-2.395721
-9.880000,-2.401604
-9.879000,-2.407511
-9.878000,-2.413443
-9.877000,-2.419399
-9.876000,-2.425380
-9.875000,-2.431386
-9.874000,-2.437418
-9.873000,-2.443474
-9.872000,-2.449556
-9.871000,-2.455664
-9.870000,-2.461797
-9.869000,-2.467956
-9.868000,-2.474141
-9.867000,-2.480352
-9.866000,-2.486589
-9.865000,-2.492853
-9.864000,-2.499144
-9.863000,-2.505461
-9.862000,-2.511805
-9.861000,-2.518177
-9.860000,-2.524575
-9.859000,-2.531001
-9.858000,-2.537455
-9.857000,-2.543936
-9.856000,-2.550446
-9.855000,-2.556983
-9.854000,-2.563549
-9.853000,-2.570143
-9.852000,-2.576766
-9.851000,-2.583418
-9.850000,-2.590099
-9.849000,-2.596809
-9.848000,-2.603548
-9.847000,-2.610317
-9.846000,-2.617116
-9.845000,-2.623944
-9.844000,-2.630803
-9.843000,-2.637692
-9.842000,-2.644611
-9.841000,-2.651562
-9.840000,-2.658543
-9.839000,-2.665555
-9.838000,-2.672598
-9.837000,-2.679673
-9.836000,-2.686780
-9.835000,-2.693919
-9.834000,-2.701090
-9.833000,-2.708293
-9.832000,-2.715529
-9.831000,-2.722797
-9.830000,-2.730099
-9.829000,-2.737434
-9.828000,-2.744802
-9.827000,-2.752204
-9.826000,-2.759639
-9.825000,-2.767109
-9.824000,-2.774614
-9.823000,-2.782153
-9.822000,-2.789726
-9.821000,-2.797335
-9.820000,-2.804979
-9.819000,-2.812659
-9.818000,-2.820374
-9.817000,-2.828126
-9.816000,-2.835913
-9.815000,-2.843738
-9.814000,-2.851599
-9.813000,-2.859497
-9.812000,-2.867433
-9.811000,-2.875406
-9.810000,-2.883417
-9.809000,-2.891466
-9.808000,-2.899554
-9.807000,-2.907680
-9.806000,-2.915845
-9.805000,-2.924050
-9.804000,-2.932294
-9.803000,-2.940577
-9.802000,-2.948901
-9.801000,-2.957266
-9.800000,-2.965671
-9.799000,-2.974117
-9.798000,-2.982604
-9.797000,-2.991133
-9.796000,-2.999704
-9.795000,-3.008317
-9.794000,-3.016973
-9.793000,-3.025671
-9.792000,-3.034413
-9.791000,-3.043198
-9.790000,-3.052027
-9.789000,-3.060900
-9.788000,-3.069818
-9.787000,-3.078781
-9.786000,-3.087789
-9.785000,-3.096842
-9.784000,-3.105941
-9.783000,-3.115087
-9.782000,-3.124279
-9.781000,-3.133519
-9.780000,-3.142805
-9.779000,-3.152139
-9.778000,-3.161522
-9.777000,-3.170953
-9.776000,-3.180433
-9.775000,-3.189962
-9.774000,-3.199541
-9.773000,-3.209169
-9.772000,-3.218849
-9.771000,-3.228579
-9.770000,-3.238361
-9.769000,-3.248194
-9.768000,-3.258079
-9.767000,-3.268017
-9.766000,-3.278008
-9.765000,-3.288052
-9.764000,-3.298151
-9.763000,-3.308303
-9.762000,-3.318511
-9.761000,-3.328773
-9.760000,-3.339092
-9.759000,-3.349466
-9.758000,-3.359898
-9.757000,-3.370386
-9.756000,-3.380932
-9.755000,-3.391536
-9.754000,-3.402199
-9.753000,-3.412921
-9.752000,-3.423702
-9.751000,-3.434544
-9.750000,-3.445446
-9.749000,-3.456410
-9.748000,-3.467435
-9.747000,-3.478523
-9.746000,-3.489673
-9.745000,-3.500887
-9.744000,-3.512165
-9.743000,-3.523508
-9.742000,-3.534915
-9.741000,-3.546388
-9.740000,-3.557928
-9.739000,-3.569535
-9.738000,-3.581209
-9.737000,-3.592951
-9.736000,-3.604762
-9.735000,-3.616642
-9.734000,-3.628593
-9.733000,-3.640614
-9.732000,-3.652706
-9.731000,-3.664871
-9.730000,-3.677108
-9.729000,-3.689418
-9.728000,-3.701803
-9.727000,-3.714262
-9.726000,-3.726797
-9.725000,-3.739408
-9.724000,-3.752096
-9.723000,-3.764862
-9.722000,-3.777706
-9.721000,-3.790630
-9.720000,-3.803633
-9.719000,-3.816717
-9.718000,-3.829883
-9.717000,-3.843131
-9.716000,-3.856462
-9.715000,-3.869877
-9.714000,-3.883377
-9.713000,-3.896963
-9.712000,-3.910635
-9.711000,-3.924395
-9.710000,-3.938243
-9.709000,-3.952180
-9.708000,-3.966207
-9.707000,-3.980325
-9.706000,-3.994536
-9.705000,-4.008839
-9.704000,-4.023236
-9.703000,-4.037728
-9.702000,-4.052316
-9.701000,-4.067000
-9.700000,-4.081783
-9.699000,-4.096664
-9.698000,-4.111646
-9.697000,-4.126728
-9.696000,-4.141913
-9.695000,-4.157201
-9.694000,-4.172593
-9.693000,-4.188091
-9.692000,-4.203695
-9.691000,-4.219407
-9.690000,-4.235228
-9.689000,-4.251159
-9.688000,-4.267202
-9.687000,-4.283357
-9.686000,-4.299626
-9.685000,-4.316010
-9.684000,-4.332511
-9.683000,-4.349129
-9.682000,-4.365867
-9.681000,-4.382725
-9.680000,-4.399705
-9.679000,-4.416808
-9.678000,-4.434036
-9.677000,-4.451389
-9.676000,-4.468871
-9.675000,-4.486481
-9.674000,-4.504223
-9.673000,-4.522096
-9.672000,-4.540103
-9.671000,-4.558245
-9.670000,-4.576524
-9.669000,-4.594942
-9.668000,-4.613500
-9.667000,-4.632200
-9.666000,-4.651043
-9.665000,-4.670032
-9.664000,-4.689168
-9.663000,-4.708453
-9.662000,-4.727889
-9.661000,-4.747477
-9.660000,-4.767221
-9.659000,-4.787120
-9.658000,-4.807179
-9.657000,-4.827398
-9.656000,-4.847779
-9.655000,-4.868325
-9.654000,-4.889038
-9.653000,-4.909920
-9.652000,-4.930973
-9.651000,-4.952199
-9.650000,-4.973601
-9.649000,-4.995181
-9.648000,-5.016941
-9.647000,-5.038884
-9.646000,-5.061012
-9.645000,-5.083328
-9.644000,-5.105833
-9.643000,-5.128532
-9.642000,-5.151425
-9.641000,-5.174517
-9.640000,-5.197809
-9.639000,-5.221305
-9.638000,-5.245007
-9.637000,-5.268918
-9.636000,-5.293042
-9.635000,-5.317380
-9.634000,-5.341936
-9.633000,-5.366714
-9.632000,-5.391716
-9.631000,-5.416946
-9.630000,-5.442406
-9.629000,-5.468101
-9.628000,-5.494033
-9.627000,-5.520206
-9.626000,-5.546625
-9.625000,-5.573291
-9.624000,-5.600209
-9.623000,-5.627383
-9.622000,-5.654817
-9.621000,-5.682514
-9.620000,-5.710479
-9.619000,-5.738715
-9.618000,-5.767227
-9.617000,-5.796019
-9.616000,-5.825095
-9.615000,-5.854460
-9.614000,-5.884119
-9.613000,-5.914075
-9.612000,-5.944335
-9.611000,-5.974901
-9.610000,-6.005780
-9.609000,-6.036977
-9.608000,-6.068496
-9.607000,-6.100344
-9.606000,-6.132524
-9.605000,-6.165043
-9.604000,-6.197907
-9.603000,-6.231121
-9.602000,-6.264691
-9.601000,-6.298623
-9.600000,-6.332923
-9.599000,-6.367598
-9.598000,-6.402653
-9.597000,-6.438096
-9.596000,-6.473934
-9.595000,-6.510172
-9.594000,-6.546819
-9.593000,-6.583881
-9.592000,-6.621366
-9.591000,-6.659281
-9.590000,-6.697635
-9.589000,-6.736434
-9.588000,-6.775688
-9.587000,-6.815405
-9.586000,-6.855593
-9.585000,-6.896260
-9.584000,-6.937417
-9.583000,-6.979072
-9.582000,-7.021234
-9.581000,-7.063914
-9.580000,-7.107121
-9.579000,-7.150865
-9.578000,-7.195158
-9.577000,-7.240009
-9.576000,-7.285429
-9.575000,-7.331431
-9.574000,-7.378025
-9.573000,-7.425224
-9.572000,-7.473040
-9.571000,-7.521485
-9.570000,-7.570572
-9.569000,-7.620315
-9.568000,-7.670728
-9.567000,-7.721824
-9.566000,-7.773617
-9.565000,-7.826124
-9.564000,-7.879359
-9.563000,-7.933337
-9.562000,-7.988075
-9.561000,-8.043590
-9.560000,-8.099899
-9.559000,-8.157019
-9.558000,-8.214969
-9.557000,-8.273768
