X,Result
-10.000000,-0.648361
-9.999000,-0.646941
-9.998000,-0.645524
-9.997000,-0.644108
-9.996000,-0.642694
-9.995000,-0.641282
-9.994000,-0.639872
-9.993000,-0.638463
-9.992000,-0.637056
-9.991000,-0.635651
-9.990000,-0.634248
-9.989000,-0.632847
-9.988000,-0.631447
-9.987000,-0.630049
-9.986000,-0.628653
-9.985000,-0.627259
-9.984000,-0.625866
-9.983000,-0.624475
-9.982000,-0.623086
-9.981000,-0.621699
-9.980000,-0.620313
-9.979000,-0.618929
-9.978000,-0.617547
-9.977000,-0.616167
-9.976000,-0.614788
-9.975000,-0.613411
-9.974000,-0.612035
-9.973000,-0.610662
-9.972000,-0.609290
-9.971000,-0.607919
-9.970000,-0.606550
-9.969000,-0.605183
-9.968000,-0.603818
-9.967000,-0.602454
-9.966000,-0.601092
-9.965000,-0.599731
-9.964000,-0.598373
-9.963000,-0.597015
-9.962000,-0.595660
-9.961000,-0.594306
-9.960000,-0.592953
-9.959000,-0.591603
-9.958000,-0.590253
-9.957000,-0.588906
-9.956000,-0.587560
-9.955000,-0.586215
-9.954000,-0.584872
-9.953000,-0.583531
-9.952000,-0.582191
-9.951000,-0.580853
-9.950000,-0.579517
-9.949000,-0.578182
-9.948000,-0.576848
-9.947000,-0.575516
-9.946000,-0.574186
-9.945000,-0.572857
-9.944000,-0.571529
-9.943000,-0.570203
-9.942000,-0.568879
-9.941000,-0.567556
-9.940000,-0.566235
-9.939000,-0.564915
-9.938000,-0.563597
-9.937000,-0.562280
-9.936000,-0.560964
-9.935000,-0.559650
-9.934000,-0.558338
-9.933000,-0.557027
-9.932000,-0.555717
-9.931000,-0.554409
-9.930000,-0.553102
-9.929000,-0.551797
-9.928000,-0.550494
-9.927000,-0.549191
-9.926000,-0.547890
-9.925000,-0.546591
-9.924000,-0.545293
-9.923000,-0.543996
-9.922000,-0.542701
-9.921000,-0.541407
-9.920000,-0.540115
-9.919000,-0.538824
-9.918000,-0.537534
-9.917000,-0.536246
-9.916000,-0.534959
-9.915000,-0.533673
-9.914000,-0.532389
-9.913000,-0.531107
-9.912000,-0.529825
-9.911000,-0.528545
-9.910000,-0.527266
-9.909000,-0.525989
-9.908000,-0.524713
-9.907000,-0.523438
-9.906000,-0.522165
-9.905000,-0.520893
-9.904000,-0.519622
-9.903000,-0.518353
-9.902000,-0.517085
-9.901000,-0.515818
-9.900000,-0.514553
-9.899000,-0.513289
-9.898000,-0.512026
-9.897000,-0.510764
-9.896000,-0.509504
-9.895000,-0.508245
-9.894000,-0.506988
-9.893000,-0.505731
-9.892000,-0.504476
-9.891000,-0.503222
-9.890000,-0.501970
-9.889000,-0.500718
-9.888000,-0.499468
-9.887000,-0.498219
-9.886000,-0.496972
-9.885000,-0.495725
-9.884000,-0.494480
-9.883000,-0.493236
-9.882000,-0.491994
-9.881000,-0.490752
-9.880000,-0.489512
-9.879000,-0.488273
-9.878000,-0.487035
-9.877000,-0.485799
-9.876000,-0.484563
-9.875000,-0.483329
-9.874000,-0.482096
-9.873000,-0.480864
-9.872000,-0.479633
-9.871000,-0.478404
-9.870000,-0.477176
-9.869000,-0.475949
-9.868000,-0.474723
-9.867000,-0.473498
-9.866000,-0.472274
-9.865000,-0.471052
-9.864000,-0.469830
-9.863000,-0.468610
-9.862000,-0.467391
-9.861000,-0.466173
-9.860000,-0.464957
-9.859000,-0.463741
-9.858000,-0.462527
-9.857000,-0.461313
-9.856000,-0.460101
-9.855000,-0.458890
-9.854000,-0.457680
-9.853000,-0.456471
-9.852000,-0.455263
-9.851000,-0.454056
-9.850000,-0.452851
-9.849000,-0.451646
-9.848000,-0.450443
-9.847000,-0.449240
-9.846000,-0.448039
-9.845000,-0.446839
-9.844000,-0.445640
-9.843000,-0.444442
-9.842000,-0.443245
-9.841000,-0.442049
-9.840000,-0.440854
-9.839000,-0.439660
-9.838000,-0.438467
-9.837000,-0.437276
-9.836000,-0.436085
-9.835000,-0.434895
-9.834000,-0.433707
-9.833000,-0.432519
-9.832000,-0.431332
-9.831000,-0.430147
-9.830000,-0.428962
-9.829000,-0.427779
-9.828000,-0.426596
-9.827000,-0.425415
-9.826000,-0.424234
-9.825000,-0.423055
-9.824000,-0.421876
-9.823000,-0.420699
-9.822000,-0.419523
-9.821000,-0.418347
-9.820000,-0.417172
-9.819000,-0.415999
-9.818000,-0.414826
-9.817000,-0.413655
-9.816000,-0.412484
-9.815000,-0.411314
-9.814000,-0.410146
-9.813000,-0.408978
-9.812000,-0.407811
-9.811000,-0.406645
-9.810000,-0.405481
-9.809000,-0.404317
-9.808000,-0.403154
-9.807000,-0.401992
-9.806000,-0.400830
-9.805000,-0.399670
-9.804000,-0.398511
-9.803000,-0.397353
-9.802000,-0.396195
-9.801000,-0.395039
-9.800000,-0.393883
-9.799000,-0.392728
-9.798000,-0.391575
-9.797000,-0.390422
-9.796000,-0.389270
-9.795000,-0.388119
-9.794000,-0.386968
-9.793000,-0.385819
-9.792000,-0.384671
-9.791000,-0.383523
-9.790000,-0.382377
-9.789000,-0.381231
-9.788000,-0.380086
-9.787000,-0.378942
-9.786000,-0.377799
-9.785000,-0.376656
-9.784000,-0.375515
-9.783000,-0.374374
-9.782000,-0.373235
-9.781000,-0.372096
-9.780000,-0.370958
-9.779000,-0.369821
-9.778000,-0.368684
-9.777000,-0.367549
-9.776000,-0.366414
-9.775000,-0.365280
-9.774000,-0.364147
-9.773000,-0.363015
-9.772000,-0.361884
-9.771000,-0.360753
-9.770000,-0.359623
-9.769000,-0.358494
